,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
NAVG,12.33,1.13B,14.08,1.44,1.08,1.06,6.71,9.07%,14.84%,2.16%,9.37%,1.03B,71.98,6.30%,352.77M,157.37M,6.35,-7.30%,332.57M,23.10,263.47M,25.01,1.79,73.21,208.74M,125.42M,0.86,25.02%,81.02,61.13,78.40,77.24,"39,472","36,675",14.40M,24.34%,74.00%,111.11K,2.30,N/A,N/A
NAV,N/A,1.37B,6.54,-8.12,0.12,N/A,16.23,-1.64%,1.49%,1.39%,N/A,10.97B,134.55,-1.90%,1.27B,361.00M,-2.21,N/A,784.00M,9.62,5.20B,N/A,1.19,-58.63,-247.00M,273.00M,3.28,-52.29%,40.17,15.67,19.59,26.43,"1,382,330","1,702,580",81.50M,35.10%,75.20%,11.90M,8.30,N/A,N/A
NBTB,15.91,1.18B,15.28,3.15,3.33,1.36,N/A,20.94%,40.04%,0.96%,8.80%,359.23M,8.17,1.00%,N/A,N/A,1.69,0.90%,150.93M,3.43,425.14M,N/A,N/A,19.95,86.05M,N/A,1.03,13.70%,27.72,22.22,26.62,25.14,"102,570","110,588",44.05M,3.25%,43.00%,1.03M,7.80,3.40%,0.85
NCS,72.12,904.88M,18.58,3.62,0.65,3.85,17.71,0.87%,3.14%,3.28%,5.35%,1.44B,19.68,17.80%,291.82M,78.54M,0.17,N/A,25.28M,0.34,465.86M,191.66,1.52,3.29,61.52M,46.56M,1.24,-34.26%,21.68,12.19,14.05,15.66,"221,503","242,825",73.81M,1.33%,96.50%,1.23M,6.00,N/A,N/A
NCIT,16.30,152.63M,13.79,3.12,0.51,1.67,6.78,3.12%,5.52%,7.16%,10.69%,308.91M,23.89,-9.10%,46.17M,23.38M,0.72,93.80%,706.00K,0.05,27.00M,28.39,1.56,7.30,32.79M,26.78M,1.91,27.39%,13.13,8.20,10.55,10.82,"15,463","35,338",8.32M,24.91%,51.70%,11.56K,1.20,N/A,0.12
NCR,26.01,4.58B,9.00,0.67,0.70,2.42,11.12,2.72%,8.09%,3.82%,9.18%,6.55B,38.90,-2.80%,1.73B,752.00M,1.04,-24.50%,462.00M,2.73,3.62B,188.59,1.53,11.17,583.00M,431.50M,1.27,-12.76%,36.50,22.83,29.97,29.40,"2,588,750","3,935,650",169.50M,7.36%,84.20%,4.08M,1.40,N/A,N/A
NP,14.55,1.02B,14.44,1.44,1.12,3.53,9.01,7.93%,11.02%,8.93%,25.18%,905.80M,54.39,1.40%,177.20M,129.80M,4.20,23.50%,58.80M,3.52,223.20M,77.74,3.49,17.17,84.80M,59.03M,1.76,12.26%,63.87,51.29,59.48,60.42,"71,661","87,300",16.72M,1.49%,83.60%,203.03K,2.80,2.00%,1.14
NEFF,28.26,71.34M,5.20,1.69,0.20,N/A,9.55,0.67%,20.19%,N/A,N/A,378.31M,36.11,8.20%,190.32M,86.20M,0.24,N/A,222.00K,0.02,731.66M,N/A,1.08,-10.47,93.67M,N/A,N/A,N/A,15.78,6.67,9.55,10.37,"73,931","146,400",10.48M,N/A,N/A,476.31K,5.80,N/A,N/A
NKTR,57.27,1.49B,N/A,2.72,5.32,19.95,20.04,9.01%,21.73%,7.98%,77.35%,289.74M,2.25,450.30%,172.17M,75.60M,0.20,N/A,300.80M,2.29,134.80M,174.37,4.60,0.59,-16.40M,4.45M,0.95,-12.57%,17.53,9.51,12.30,12.28,"1,644,700","1,394,040",131.53M,0.36%,90.70%,21.63M,8.80,N/A,N/A
NNI,6.36,1.89B,7.44,-1.81,2.27,1.01,N/A,37.76%,43.71%,1.04%,18.20%,790.80M,17.21,-24.70%,N/A,N/A,6.43,-12.20%,143.17M,3.11,27.90B,"1,566.37",156.02,38.56,398.19M,N/A,1.13,-8.72%,48.80,37.22,42.17,44.41,"126,039","141,088",34.59M,28.52%,60.00%,479.31K,3.30,1.00%,0.40
NEOG,63.62,2.11B,45.55,3.25,7.55,6.09,31.80,11.84%,18.77%,9.00%,10.22%,283.07M,7.56,16.90%,139.68M,63.59M,0.90,24.50%,114.16M,3.08,0.00,N/A,9.08,9.45,N/A,N/A,1.21,27.96%,62.70,38.74,51.99,48.49,"181,608","183,550",37.13M,4.51%,82.50%,1.64M,11.30,N/A,N/A
NEO,N/A,347.73M,57.60,N/A,3.72,5.85,44.68,-0.19%,1.12%,1.06%,-0.43%,95.61M,1.62,17.90%,40.71M,7.64M,-0.01,N/A,32.95M,0.55,6.97M,11.46,3.94,1.01,6.05M,5.86M,0.39,11.41%,6.85,3.33,5.94,5.06,"455,525","264,962",60.37M,42.46%,34.30%,2.47M,3.00,N/A,N/A
NEOM,N/A,484.68K,N/A,N/A,0.02,N/A,79.91,-127.63%,7.79%,4.45%,N/A,2.98M,0.00,-53.10%,2.88M,494.00K,-0.00,N/A,101.00K,0.00,39.09M,N/A,0.01,-0.01,-379.00K,-866.87K,0.55,-80.00%,0.00,0.00,0.00,0.00,"3,645,580","885,714",4.85B,11.19%,0.50%,0.00,0.00,N/A,N/A
NPTN,N/A,229.04M,12.26,0.64,0.91,1.80,19.71,-2.20%,-2.82%,-1.83%,-4.29%,319.39M,9.86,19.40%,71.12M,15.18M,-0.22,N/A,70.30M,2.14,66.17M,40.69,2.01,4.94,14.35M,-4.59M,-0.23,135.10%,11.19,2.20,8.90,6.60,"857,538","1,168,680",39.76M,38.34%,35.30%,2.24M,2.80,N/A,N/A
NBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEOT,N/A,161.86M,N/A,-0.12,N/A,3.13,-9.56,N/A,N/A,N/A,-52.30%,N/A,N/A,N/A,N/A,-13.73M,-3.04,N/A,70.72M,5.17,9.79M,16.69,17.98,4.29,-11.59M,N/A,N/A,N/A,15.05,5.92,11.25,8.08,"134,478","181,475",13.67M,N/A,N/A,238.08K,1.30,N/A,N/A
NRX,N/A,43.31M,N/A,N/A,N/A,2.53,-1.12,N/A,N/A,-42.44%,-84.82%,N/A,N/A,N/A,N/A,-20.13M,-2.28,N/A,23.97M,2.70,6.78M,46.96,5.20,1.63,-16.23M,-8.66M,N/A,-8.71%,17.98,3.96,5.56,7.08,"57,894","20,825",10.59M,55.86%,26.40%,267.94K,3.80,N/A,N/A
NETE,N/A,21.25M,N/A,N/A,0.68,4.27,-2.32,-40.34%,-31.46%,-26.62%,N/A,21.89M,0.54,14.40%,5.31M,-5.01M,-0.22,N/A,766.28K,0.02,4.09M,109.64,0.72,0.08,1.35M,5.18M,1.00,-81.22%,5.75,0.12,0.32,0.86,"1,448,570","6,720,150",62.50M,79.68%,0.20%,781.03K,1.10,N/A,N/A
NTAP,17.44,9.31B,11.83,1.33,1.53,2.75,6.44,9.15%,11.70%,4.81%,15.55%,6.12B,19.41,-6.60%,3.83B,876.50M,1.75,-31.50%,5.33B,17.46,1.49B,43.57,2.50,11.15,1.27B,850.66M,0.77,-22.38%,43.75,30.25,31.47,35.11,"4,386,330","2,571,390",304.98M,0.73%,90.90%,14.29M,3.70,2.30%,0.68
NFLX,276.95,52.62B,411.73,24.63,8.81,26.51,113.43,3.15%,5.69%,2.72%,10.58%,6.11B,14.45,22.70%,1.75B,407.16M,0.45,-62.90%,2.80B,6.57,2.40B,118.11,1.74,4.77,-384.62M,3.28B,0.85,91.49%,129.29,45.08,104.55,81.11,"18,715,800","18,255,200",426.00M,1.92%,88.20%,26.76M,1.20,N/A,N/A
NTGR,N/A,1.14B,14.65,2.66,0.85,1.69,7.57,-0.66%,6.60%,5.37%,-1.21%,1.30B,37.60,-14.50%,397.92M,122.75M,-0.25,-75.10%,212.91M,6.30,0.00,N/A,2.95,19.53,N/A,N/A,0.69,-1.99%,36.70,28.31,30.81,31.74,"325,503","328,375",34.66M,2.37%,104.20%,1.39M,4.90,N/A,N/A
NLST,N/A,25.18M,N/A,-0.08,1.90,2.92,-1.01,-138.53%,-127.06%,-42.67%,-152.90%,14.31M,0.34,-69.80%,3.96M,-17.43M,-0.47,N/A,19.56M,0.39,9.54M,102.16,2.31,0.19,-11.77M,-5.03M,-3.27,-62.69%,2.09,0.49,0.57,0.85,"209,198","115,112",50.35M,15.22%,21.80%,827.83K,2.90,N/A,N/A
NTCT,26.79,4.07B,16.97,1.43,3.52,3.67,10.77,13.49%,23.97%,10.64%,14.49%,453.67M,11.04,6.30%,359.11M,124.84M,1.47,25.10%,206.29M,5.06,0.00,N/A,1.80,10.68,106.93M,85.90M,0.85,-10.64%,48.13,31.59,38.16,39.98,"1,578,500","1,808,590",103.26M,7.55%,99.00%,9.52M,5.70,N/A,N/A
NTWK,N/A,52.40M,N/A,-0.28,1.15,0.85,-15.22,-26.93%,-27.44%,-8.04%,-16.53%,45.20M,4.77,39.60%,8.66M,-2.93M,-1.29,N/A,10.89M,1.08,3.58M,4.81,2.03,6.04,5.87M,5.75M,1.35,40.93%,6.50,2.68,5.14,5.43,"22,636","29,613",10.21M,7.01%,15.10%,23.59K,1.30,N/A,N/A
N,N/A,7.50B,232.61,17.15,11.55,23.54,-120.42,-17.04%,-15.06%,-6.48%,-41.38%,643.63M,8.34,34.50%,379.47M,-63.63M,-1.42,N/A,385.62M,4.95,271.71M,86.04,1.42,4.05,89.08M,215.97M,0.79,13.98%,113.88,81.37,94.06,95.68,"377,222","401,888",78.62M,65.22%,38.80%,3.80M,12.70,N/A,N/A
CUR,N/A,122.86M,N/A,N/A,"7,603.78",6.92,-8.53,N/A,"-95,955.91%",-31.61%,-94.09%,17.58K,0.00,-30.00%,18.83K,-16.53M,-0.25,N/A,28.63M,0.32,8.88M,45.88,6.72,0.21,-13.71M,-7.42M,3.11,-60.12%,4.11,1.25,1.78,2.28,"691,084","549,788",90.34M,4.27%,17.00%,13.82M,16.30,N/A,N/A
NBIX,N/A,3.97B,N/A,6.34,203.59,8.30,-75.90,-252.38%,-273.02%,-8.36%,-13.64%,19.77M,0.26,N/A,N/A,-53.08M,-0.65,N/A,370.01M,4.33,0.00,N/A,26.66,5.68,-55.56M,-51.44M,-1.91,210.21%,56.18,13.73,49.48,42.21,"868,855","704,875",85.42M,1.15%,93.60%,5.45M,5.70,N/A,N/A
NURO,N/A,19.38M,N/A,N/A,1.65,0.76,0.41,-143.03%,-205.94%,-43.83%,-79.51%,5.35M,0.64,-8.80%,N/A,-10.83M,-1.34,N/A,12.64M,1.15,0.00,N/A,4.46,1.06,-10.42M,-6.98M,1.26,-52.27%,2.05,0.71,0.88,1.30,"192,375","46,938",23.07M,11.55%,6.90%,271.61K,1.10,N/A,N/A
NSR,9.79,1.67B,7.39,3.91,1.73,2.70,5.40,18.09%,29.38%,10.57%,29.09%,985.08M,17.49,9.30%,716.47M,380.06M,3.07,45.90%,347.08M,6.27,789.57M,123.88,3.11,11.39,319.32M,293.51M,1.99,5.84%,32.74,20.32,29.29,27.24,"668,422","954,300",55.37M,3.94%,135.70%,24.58M,40.90,N/A,N/A
UWN,14.50,25.70M,N/A,N/A,0.41,0.88,5.01,2.91%,5.66%,5.20%,6.51%,64.08M,3.96,7.10%,27.17M,5.84M,0.11,N/A,7.45M,0.46,8.90M,29.96,2.78,1.83,5.99M,3.89M,0.35,33.90%,2.50,1.01,1.71,1.56,"73,241","23,775",16.26M,7.94%,14.20%,77.16K,2.50,N/A,N/A
NVRO,N/A,1.39B,N/A,-370.60,34.56,7.73,-33.59,-105.94%,-93.91%,-16.05%,-34.25%,35.57M,3.43,45.00%,21.30M,-33.28M,-3.64,N/A,159.22M,6.40,19.57M,12.30,13.98,6.39,-39.88M,-22.29M,N/A,N/A,65.50,23.13,51.73,48.65,"404,028","305,462",26.66M,N/A,N/A,1.57M,3.40,N/A,N/A
NHTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWHM,31.28,242.77M,7.00,0.42,1.12,1.66,85.13,3.43%,1.66%,0.94%,5.16%,226.96M,13.70,302.40%,12.94M,4.20M,0.47,190.80%,51.79M,3.14,125.05M,80.25,9.66,9.26,-108.59M,-90.58M,N/A,4.11%,17.97,12.80,16.98,15.50,"65,467","121,488",16.52M,46.15%,50.60%,273.57K,5.10,N/A,N/A
NJR,16.87,2.45B,16.84,2.79,0.78,2.11,12.57,4.67%,6.21%,3.72%,13.29%,3.12B,36.84,-35.90%,383.44M,250.40M,1.70,-64.80%,103.34M,1.21,881.48M,76.58,1.14,13.47,299.85M,-95.80M,0.92,11.27%,33.73,24.65,28.36,30.18,"427,178","403,012",85.58M,0.91%,59.80%,2.17M,4.10,3.30%,0.90
NEWM,N/A,701.67M,10.12,N/A,0.93,1.15,11.78,-0.34%,5.70%,2.98%,-0.51%,760.91M,21.63,76.40%,283.90M,90.74M,-0.07,N/A,26.93M,0.61,362.73M,58.96,1.32,13.84,64.99M,42.53M,N/A,3.34%,25.77,14.78,17.32,21.26,"513,483","883,150",44.47M,N/A,N/A,2.00M,4.40,8.00%,0.90
NMFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRZ,6.10,3.33B,N/A,N/A,5.20,1.32,N/A,60.89%,79.00%,5.90%,25.31%,558.54M,3.98,-9.60%,N/A,N/A,2.37,-26.20%,463.23M,2.33,5.36B,295.41,0.47,11.08,134.72M,N/A,1.31,14.58%,17.91,11.44,15.50,15.46,"2,629,120","3,276,990",230.42M,0.51%,56.80%,7.01M,2.60,11.70%,1.56
NSLP,N/A,19.71M,N/A,N/A,0.11,0.13,2.73,-55.55%,0.96%,0.36%,-63.88%,176.33M,10.18,39.00%,86.12M,59.45M,-5.65,N/A,1.53M,0.08,118.43M,76.67,0.89,7.37,47.19M,17.38M,2.31,-96.41%,27.27,0.93,2.87,5.22,"99,042","276,300",18.76M,34.47%,5.10%,53.81K,0.80,33.10%,0.99
SNR,N/A,1.04B,7.72,N/A,3.07,1.33,N/A,-20.93%,2.22%,0.19%,-11.03%,271.01M,4.08,27.70%,142.74M,116.64M,-0.85,N/A,108.10M,1.63,1.61B,257.41,7.68,9.45,43.82M,40.71M,N/A,N/A,20.20,11.85,13.39,15.69,"1,041,080","1,001,580",86.53M,N/A,N/A,3.61M,1.90,8.20%,0.72
NWY,N/A,145.04M,10.76,1.27,0.15,1.50,6.25,-2.30%,-0.75%,-1.50%,-20.29%,927.13M,14.74,1.70%,249.78M,19.87M,-0.34,N/A,48.41M,0.77,14.50M,15.19,1.30,1.52,16.07M,9.08M,0.33,-34.68%,3.63,2.06,2.53,2.46,"131,283","53,475",64.18M,52.02%,42.10%,303.74K,1.30,N/A,N/A
NYCB,16.40,8.09B,17.17,1.73,5.95,1.41,N/A,35.82%,57.16%,1.02%,8.54%,1.38B,3.13,3.20%,N/A,N/A,1.11,4.20%,588.72M,1.33,14.01B,N/A,N/A,13.09,N/A,N/A,0.73,17.04%,19.11,14.61,18.47,17.30,"2,982,030","3,488,540",444.34M,3.46%,55.20%,44.32M,15.50,5.40%,1.00
NYMT,5.18,773.22M,N/A,N/A,4.14,1.01,N/A,72.97%,76.70%,1.39%,19.58%,187.78M,1.96,4.00%,N/A,N/A,1.37,3.70%,424.33M,3.88,8.36B,"1,002.09",6.94,7.05,32.96M,N/A,1.09,-10.96%,8.20,6.88,7.63,7.77,"1,221,940","2,120,400",109.37M,0.48%,25.30%,11.90M,8.70,14.30%,1.35
NYRT,N/A,1.64B,18.74,N/A,10.06,1.50,N/A,-55.80%,-18.22%,-0.92%,-7.29%,166.81M,1.02,30.50%,83.12M,44.12M,-0.57,N/A,49.37M,0.31,809.30M,69.33,1.86,6.90,16.42M,6.94M,N/A,-4.35%,11.41,8.87,10.18,10.07,"1,215,120","892,550",162.46M,0.20%,14.20%,7.15M,4.20,4.50%,0.46
NYT,134.59,2.19B,24.43,-4.21,1.34,2.57,8.85,1.09%,9.35%,3.80%,1.92%,1.58B,10.27,-1.60%,944.53M,222.15M,0.10,N/A,664.49M,4.00,427.67M,51.55,3.07,4.98,96.01M,129.76M,2.34,5.69%,14.53,11.22,13.45,13.62,"618,025","692,375",166.04M,13.33%,78.40%,8.24M,13.10,1.20%,0.16
NBBC,17.17,330.20M,12.43,3.05,3.23,1.31,N/A,18.50%,33.74%,0.74%,7.97%,103.44M,2.72,15.90%,N/A,N/A,0.49,416.90%,N/A,N/A,509.07M,N/A,N/A,6.54,N/A,N/A,1.89,9.74%,9.18,7.25,8.73,8.45,"89,083","229,338",35.89M,5.00%,48.10%,614.56K,5.10,0.70%,0.03
NCT,13.17,306.22M,N/A,N/A,0.81,1.66,N/A,7.26%,12.14%,1.80%,8.94%,380.51M,6.00,-29.60%,239.03M,N/A,0.35,N/A,56.00M,0.84,1.29B,522.51,1.53,2.79,24.46M,N/A,1.57,-5.44%,5.49,4.00,4.65,4.83,"388,975","324,050",66.42M,1.75%,65.10%,877.14K,1.70,10.70%,0.47
NWL,31.36,11.62B,17.87,2.03,2.01,6.85,14.60,6.56%,13.62%,7.81%,20.05%,5.78B,21.12,4.10%,2.20B,944.70M,1.38,2.30%,215.40M,0.80,2.84B,167.14,1.19,6.31,571.90M,412.91M,0.89,29.07%,44.22,31.14,41.92,39.99,"1,516,280","1,607,860",268.70M,0.53%,91.20%,7.30M,4.60,1.80%,0.72
NFX,35.04,5.51B,27.83,-183.74,2.71,1.32,3.72,6.58%,56.58%,7.97%,3.82%,2.07B,14.84,-38.90%,1.79B,2.05B,0.98,N/A,783.00M,4.87,3.15B,74.23,1.87,26.36,1.23B,-896.62M,1.26,-15.17%,44.87,22.31,34.65,34.59,"3,132,810","5,083,120",160.90M,0.64%,95.40%,9.58M,3.40,N/A,N/A
NLNK,12.87,1.42B,N/A,N/A,6.54,5.92,9.01,58.30%,66.08%,49.78%,78.86%,211.45M,7.55,"11,635.00%",172.59M,140.87M,3.84,N/A,214.37M,7.50,1.09M,0.47,14.30,8.16,112.81M,73.96M,0.71,99.60%,58.73,17.32,49.11,46.56,"561,364","449,250",28.64M,29.04%,51.10%,4.83M,10.00,N/A,N/A
NEU,20.44,4.85B,20.52,3.06,2.11,11.05,14.04,10.34%,16.06%,18.32%,48.95%,2.32B,184.95,-2.90%,665.42M,413.79M,19.08,11.20%,119.24M,9.58,373.54M,84.34,3.16,35.59,287.13M,231.71M,0.47,-1.28%,483.25,342.00,438.76,455.18,"44,041","98,713",12.44M,20.56%,62.40%,572.08K,14.70,1.30%,5.30
NEM,16.74,8.54B,14.28,1.01,1.08,0.73,3.97,6.32%,25.53%,4.79%,3.78%,7.64B,15.26,8.10%,2.84B,3.03B,0.96,-60.00%,3.34B,6.62,6.38B,44.74,2.78,22.32,1.95B,1.29B,0.16,-39.16%,27.90,16.08,20.58,23.60,"7,904,150","9,471,920",528.85M,0.18%,74.50%,9.16M,1.60,0.60%,0.10
NR,9.33,589.60M,18.45,72.30,0.56,0.99,4.45,6.30%,10.85%,7.56%,11.19%,1.08B,13.16,-14.20%,241.42M,159.04M,0.75,-97.20%,91.69M,1.09,182.41M,29.77,4.37,7.29,117.18M,16.09M,1.28,-44.05%,13.00,6.79,7.59,8.91,"1,192,960","1,673,600",84.11M,2.93%,105.80%,4.13M,2.60,N/A,N/A
NEWP,17.70,621.65M,9.60,1.08,1.00,1.72,7.93,5.83%,9.27%,6.14%,10.31%,614.91M,15.46,6.60%,270.76M,84.92M,0.89,9.90%,31.20M,0.78,81.57M,22.95,2.74,8.93,53.53M,32.10M,0.75,-15.05%,20.85,14.49,17.47,18.97,"189,456","201,675",39.47M,2.45%,86.10%,461.66K,2.60,N/A,N/A
NWSA,33.84,8.19B,27.13,3.10,0.94,0.66,10.18,2.81%,2.90%,0.98%,2.44%,8.68B,14.96,-0.80%,N/A,652.00M,0.42,-52.10%,2.03B,3.48,0.00,N/A,1.80,21.22,753.00M,241.50M,1.86,-18.63%,17.80,13.73,14.62,15.58,"2,999,130","2,768,080",381.14M,0.77%,96.50%,10.50M,3.10,0.50%,N/A
NEWS,87.52,549.34M,19.66,2.36,9.92,0.84,N/A,12.45%,21.32%,0.25%,1.08%,55.68M,1.17,-35.90%,N/A,N/A,0.14,-59.10%,28.67M,0.62,2.40B,365.24,276.69,14.26,-8.71M,N/A,1.25,11.85%,13.98,9.38,11.37,11.02,"51,458","25,063",45.82M,60.64%,41.90%,612.86K,8.80,N/A,N/A
NEWT,11.96,189.02M,9.02,N/A,1.92,1.13,25.72,12.58%,9.43%,2.37%,10.10%,100.05M,12.30,-86.40%,61.67M,11.85M,1.55,619.10%,14.59M,1.43,121.53M,71.67,1.59,16.61,-32.63M,105.70M,1.21,48.59%,19.95,12.00,18.51,17.37,"64,802","45,250",10.22M,25.67%,12.10%,107.22K,1.50,9.70%,0.86
NXST,24.71,1.69B,12.60,7.04,2.32,24.81,12.93,10.00%,26.26%,7.54%,219.41%,700.87M,22.67,52.00%,443.88M,254.30M,2.19,75.50%,44.58M,1.43,1.54B,"2,161.37",2.07,2.09,171.42M,119.23M,2.45,10.98%,60.31,36.41,56.02,55.92,"286,994","379,000",31.29M,9.06%,112.30%,2.81M,8.60,1.30%,0.68
NEE,17.64,47.52B,17.46,2.89,2.69,2.32,9.58,15.39%,27.45%,4.12%,13.92%,17.45B,39.97,11.70%,8.27B,7.77B,6.07,51.20%,469.00M,1.06,29.47B,143.99,0.67,45.56,5.66B,-2.00B,0.41,12.76%,112.64,90.33,102.33,103.25,"2,098,740","2,579,950",444.12M,0.35%,73.30%,9.78M,5.20,3.00%,2.99
NEP,N/A,643.26M,17.67,0.54,1.78,1.05,10.15,8.54%,51.58%,3.65%,8.15%,316.00M,16.36,25.40%,245.00M,245.00M,-0.05,-66.70%,52.00M,2.78,1.89B,308.99,1.14,28.72,158.00M,4.36M,1.92,-9.96%,48.23,28.95,37.82,40.96,"203,252","623,938",21.29M,25.74%,15.60%,2.01M,12.90,2.40%,0.82
EGOV,33.89,1.30B,28.78,1.30,4.26,10.27,14.73,13.94%,22.51%,21.75%,35.56%,277.06M,4.24,7.60%,111.13M,70.59M,0.59,-4.60%,92.10M,1.41,0.00,N/A,2.58,1.75,48.23M,44.34M,0.47,6.43%,20.17,15.16,17.92,17.38,"212,084","302,688",65.54M,7.33%,84.20%,1.44M,5.90,N/A,0.50
NICK,9.56,101.67M,N/A,N/A,1.73,1.16,N/A,28.05%,43.43%,5.75%,14.54%,60.08M,5.00,0.20%,N/A,N/A,1.38,34.50%,3.39M,0.44,199.18M,221.59,28.13,11.67,25.76M,N/A,0.51,1.62%,15.47,10.64,13.02,13.71,"37,039","17,675",7.71M,31.08%,40.30%,31.08K,0.50,N/A,N/A
NKE,30.95,97.95B,24.21,2.22,3.22,7.76,19.07,10.70%,13.64%,12.98%,27.82%,30.60B,35.51,4.80%,14.07B,4.82B,3.70,23.90%,6.00B,7.02,1.34B,10.53,2.52,14.83,4.68B,2.33B,0.69,48.60%,117.72,76.49,111.52,102.09,"2,968,100","2,910,320",677.89M,0.18%,84.40%,7.08M,2.10,1.00%,1.08
NMBL,N/A,2.03B,118.45,-3.41,8.22,12.17,-20.56,-42.88%,-41.74%,-22.88%,-61.38%,252.41M,3.42,53.20%,148.72M,-95.04M,-1.47,N/A,201.46M,2.59,0.00,N/A,3.26,2.19,-3.38M,-10.27M,N/A,-7.09%,32.16,20.82,27.68,25.47,"951,658","447,200",77.87M,106.44%,18.70%,7.65M,6.30,N/A,N/A
NKA,N/A,128.40M,N/A,-0.05,0.80,0.68,31.78,-220.69%,-15.42%,-1.13%,-94.80%,158.89M,4.31,-86.20%,98.32M,28.12M,-9.34,N/A,11.70M,0.31,779.43M,419.79,0.91,4.89,-39.44M,-8.50M,-3.25,-75.74%,14.70,1.21,3.49,2.50,"222,686","63,138",37.99M,0.46%,60.40%,135.19K,0.30,N/A,0.35
NI,10.11,5.37B,15.95,-5.85,0.85,0.82,8.00,8.45%,18.82%,3.09%,8.01%,6.30B,19.95,-7.40%,4.25B,1.76B,1.67,0.80%,42.00M,0.13,8.73B,116.93,0.82,20.56,1.53B,-851.70M,0.54,14.95%,19.32,14.65,17.34,17.36,"6,038,700","4,510,480",317.38M,0.46%,79.60%,5.59M,1.10,3.60%,0.46
NL,8.49,295.51M,7.59,-0.28,2.81,1.28,72.02,32.83%,-0.10%,-0.01%,13.40%,105.96M,2.18,8.20%,32.25M,3.50M,0.72,167.40%,73.20M,1.50,0.00,N/A,5.52,4.78,23.79M,-228.13K,1.43,-31.95%,9.27,5.19,7.00,7.37,"24,719","27,063",48.68M,86.14%,N/A,170.47K,5.10,N/A,N/A
NMIH,N/A,508.81M,289.00,N/A,20.54,1.21,-9.60,-166.86%,-190.91%,-6.39%,-9.51%,24.97M,0.43,169.50%,-50.92M,-40.45M,-0.71,N/A,66.42M,1.13,0.00,N/A,1.98,7.23,-16.56M,725.25K,N/A,-14.92%,10.27,7.25,8.05,7.87,"273,672","543,362",58.69M,1.89%,84.40%,1.49M,4.90,N/A,N/A
NNBR,52.69,659.02M,14.49,1.16,0.88,2.99,11.17,1.63%,8.27%,5.79%,5.64%,549.82M,30.17,59.70%,103.71M,72.23M,0.48,14.60%,16.76M,0.88,376.51M,233.44,1.87,8.46,14.59M,-31.02M,0.83,-8.47%,29.91,17.49,24.70,25.39,"328,545","572,012",25.84M,2.62%,81.60%,2.76M,6.40,1.20%,0.28
NBL,12.36,13.90B,68.13,-21.63,2.89,1.10,4.85,22.83%,32.20%,4.02%,9.58%,4.34B,11.95,-44.20%,4.14B,3.62B,2.65,N/A,1.71B,4.62,6.18B,54.40,1.59,30.70,3.12B,-1.96B,0.91,-53.13%,72.16,32.39,38.73,45.35,"5,193,000","5,524,540",425.07M,1.82%,93.20%,19.06M,4.30,2.00%,0.72
NDLS,53.60,398.68M,35.14,4.52,1.08,3.26,9.87,1.73%,4.64%,5.70%,5.46%,419.98M,14.10,18.10%,80.91M,45.60M,0.24,N/A,1.64M,0.06,22.46M,16.18,0.81,4.64,52.10M,-15.32M,-0.38,-52.26%,28.02,11.37,14.91,18.19,"318,925","415,212",29.99M,0.19%,80.00%,3.28M,10.60,N/A,N/A
NOR,N/A,33.26M,N/A,-0.08,0.02,0.79,5.93,-2.20%,1.81%,1.19%,-34.91%,1.38B,19.93,-3.80%,93.30M,116.90M,-0.44,N/A,24.50M,0.35,678.80M,"1,399.59",1.55,0.61,85.80M,-5.35M,2.04,-89.14%,5.64,0.41,0.67,2.28,"1,788,120","758,850",70.06M,12.54%,72.90%,1.04M,0.60,7.30%,0.04
NCFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDSN,19.31,4.51B,16.40,1.13,2.64,5.51,12.37,14.18%,21.22%,10.46%,27.80%,1.71B,27.36,-4.00%,945.10M,424.94M,3.84,-20.50%,51.45M,0.85,888.98M,108.65,2.22,13.45,303.40M,226.99M,1.37,-3.09%,84.45,66.77,76.07,77.93,"218,561","164,338",60.83M,11.43%,68.40%,1.69M,8.00,1.20%,0.88
