,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
SO,19.39,41.35B,15.49,4.78,2.27,2.04,10.52,11.77%,21.65%,3.57%,10.19%,18.01B,19.96,-9.90%,7.44B,6.18B,2.35,44.70%,1.12B,1.23,26.12B,122.02,0.69,22.04,5.62B,-1.82B,0.21,5.74%,53.16,41.40,43.34,44.81,"5,127,220","4,770,020",908.26M,0.03%,50.70%,34.66M,6.80,5.10%,1.59
LUV,16.20,25.11B,10.30,0.49,1.33,3.51,5.63,8.34%,16.86%,9.52%,21.54%,18.95B,28.08,2.00%,10.93B,4.06B,2.32,30.80%,3.13B,4.71,2.69B,37.54,0.67,10.76,2.52B,1.01B,1.11,31.22%,47.17,28.36,34.80,40.19,"9,791,090","7,552,180",668.30M,0.13%,82.60%,13.09M,1.40,0.90%,0.26
SWN,7.82,6.50B,24.85,-19.03,1.73,0.94,5.15,20.94%,35.41%,7.11%,14.88%,3.86B,10.79,-16.20%,3.61B,2.38B,2.16,-59.80%,17.00M,0.04,5.17B,73.26,0.94,18.47,2.27B,-5.55B,1.21,-57.01%,41.23,16.20,20.75,24.27,"8,011,620","8,716,620",384.54M,6.11%,85.90%,43.28M,5.90,N/A,N/A
SE,21.08,19.60B,21.31,4.95,3.46,2.55,12.77,16.36%,32.13%,3.44%,10.92%,5.68B,8.47,-11.90%,3.11B,2.63B,1.39,-36.30%,417.00M,0.62,14.29B,138.92,0.76,11.48,2.30B,-417.25M,0.86,-26.54%,42.18,28.17,30.96,34.47,"4,278,690","5,866,740",671.33M,0.17%,68.70%,23.58M,5.60,5.00%,1.11
STJ,19.91,20.01B,16.50,1.70,3.69,5.35,14.14,18.60%,24.78%,8.59%,25.60%,5.57B,19.63,-2.60%,3.97B,1.69B,3.59,7.40%,910.00M,3.19,3.74B,97.40,1.14,13.45,N/A,N/A,1.54,12.24%,80.84,54.80,74.55,70.69,"1,387,310","1,463,860",280.12M,2.37%,83.40%,5.22M,4.30,1.60%,1.12
SWK,21.86,16.09B,16.01,1.68,1.42,2.88,11.01,6.71%,12.32%,5.33%,13.47%,11.35B,73.16,0.50%,N/A,1.84B,4.79,0.20%,450.50M,2.93,4.52B,79.26,1.25,36.53,1.25B,995.35M,0.83,18.05%,111.18,79.03,106.31,100.69,"1,118,990","1,958,750",153.73M,0.82%,84.50%,4.44M,4.60,2.10%,2.08
SPLS,93.69,8.94B,14.54,-10.57,0.41,1.69,6.79,0.44%,4.22%,5.33%,1.69%,22.10B,34.55,-6.90%,5.80B,1.39B,0.15,-38.50%,795.00M,1.24,1.11B,20.86,1.59,8.32,983.94M,756.96M,1.38,22.35%,19.40,10.82,15.05,16.13,"6,783,850","8,184,520",640.65M,0.75%,104.30%,32.90M,4.80,3.40%,0.48
SBUX,32.23,85.78B,30.59,2.05,4.66,14.30,20.96,14.61%,17.55%,N/A,N/A,18.43B,12.31,17.50%,9.59B,4.11B,1.78,22.30%,1.85B,1.23,2.09B,34.81,N/A,4.00,N/A,N/A,0.80,46.91%,59.32,35.39,55.70,50.08,"7,317,210","8,158,450",1.50B,2.69%,73.90%,17.83M,2.50,1.10%,0.64
HOT,23.19,13.05B,22.27,2.74,4.02,9.74,14.49,18.43%,26.91%,6.44%,26.00%,3.23B,17.94,-5.50%,4.28B,1.11B,3.29,-27.70%,573.00M,3.35,2.76B,205.44,0.83,7.79,898.00M,735.50M,1.81,-5.26%,87.99,68.53,81.55,81.49,"2,368,650","3,215,250",170.89M,0.30%,92.30%,2.13M,1.00,1.80%,3.13
STT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRCL,40.96,12.16B,26.87,2.05,4.49,6.23,18.46,11.06%,22.06%,8.38%,15.77%,2.72B,32.07,11.70%,1.09B,709.47M,3.49,-26.20%,33.06M,0.38,1.67B,84.16,1.30,22.76,388.81M,327.30M,0.33,21.46%,143.54,114.26,136.51,136.46,"503,561","729,900",85.05M,2.11%,89.20%,2.71M,6.80,N/A,N/A
SYK,41.39,38.20B,18.03,2.20,3.89,4.49,14.11,9.50%,22.85%,8.24%,10.66%,9.82B,25.96,2.90%,6.38B,2.62B,2.44,206.20%,4.28B,11.35,3.24B,38.12,2.40,22.56,1.94B,2.18B,1.31,26.89%,103.99,77.87,98.45,94.94,"1,042,120","1,089,000",378.41M,13.27%,72.00%,4.31M,4.50,1.40%,1.34
STI,12.71,22.73B,12.39,2.27,3.00,1.04,N/A,24.61%,34.99%,1.01%,8.32%,7.65B,14.65,1.40%,N/A,N/A,3.45,21.10%,13.73B,26.55,16.23B,N/A,N/A,42.55,N/A,N/A,1.09,19.86%,45.84,33.97,44.09,42.24,"3,055,710","2,639,790",518.04M,0.17%,81.60%,9.75M,2.90,2.20%,0.84
SYMC,18.02,15.46B,11.24,1.52,2.34,2.56,7.55,13.49%,21.53%,6.54%,14.97%,6.51B,9.45,-6.60%,5.36B,1.84B,1.26,-18.90%,3.89B,5.72,2.10B,35.32,1.22,8.72,1.31B,917.25M,1.27,-6.50%,27.32,21.66,23.17,24.30,"3,751,560","3,148,600",680.73M,0.25%,92.30%,8.40M,2.00,2.60%,0.60
SYY,25.31,21.93B,18.75,3.76,0.44,4.05,10.00,1.79%,3.73%,7.28%,16.40%,48.57B,82.33,4.20%,8.18B,2.40B,1.46,-2.20%,5.08B,8.56,7.67B,143.27,2.66,8.96,1.51B,1.09B,0.77,-1.36%,41.45,35.45,36.52,37.81,"4,761,180","6,181,000",593.76M,0.24%,79.50%,25.06M,4.10,3.30%,1.19
TROW,16.17,19.43B,14.39,1.49,4.69,3.93,8.85,30.47%,47.18%,22.04%,24.65%,4.14B,16.03,9.00%,3.98B,2.07B,4.69,9.00%,1.35B,5.28,0.00,N/A,4.02,19.30,1.45B,1.36B,1.42,-3.25%,88.64,71.78,77.73,80.62,"1,368,210","1,202,220",256.21M,3.17%,70.20%,9.05M,5.90,2.70%,3.92
TGT,N/A,50.43B,15.58,1.34,0.69,3.58,8.75,-1.94%,6.63%,7.16%,16.50%,73.08B,114.80,2.80%,21.34B,7.00B,-2.23,51.90%,2.77B,4.34,12.79B,90.21,1.24,22.20,5.47B,3.07B,0.87,35.33%,85.81,57.75,82.58,80.00,"4,662,350","3,870,860",638.49M,0.17%,85.40%,22.60M,4.60,2.80%,2.08
TEL,12.55,24.91B,15.10,1.13,1.74,2.73,9.46,14.33%,15.79%,7.16%,21.03%,14.26B,34.97,1.40%,4.69B,2.92B,4.93,-23.30%,701.00M,1.74,4.03B,44.07,1.91,22.60,2.04B,-179.25M,1.02,0.65%,73.73,51.03,63.17,68.07,"1,942,570","2,375,910",402.38M,0.20%,92.10%,1.92M,0.90,2.20%,0.58
TE,36.66,5.21B,18.76,2.62,1.92,2.00,9.99,5.16%,19.99%,4.13%,9.02%,2.68B,11.79,19.90%,1.02B,878.90M,0.60,15.80%,32.80M,0.14,3.83B,148.17,0.53,10.98,624.90M,-181.35M,0.65,27.39%,22.36,16.98,19.83,19.55,"2,379,200","2,173,280",235.12M,1.14%,55.30%,8.49M,5.50,4.20%,0.89
TGNA,6.01,6.03B,11.51,2.61,0.97,1.82,7.33,16.67%,19.28%,N/A,N/A,6.14B,27.12,4.20%,N/A,1.49B,4.42,-44.40%,135.68M,0.60,4.36B,122.85,N/A,14.52,N/A,N/A,1.33,-21.75%,38.48,25.95,31.50,34.22,"2,308,690","2,216,360",226.86M,N/A,N/A,15.22M,5.60,2.70%,0.80
THC,58.73,5.28B,19.21,1.09,0.31,6.40,8.53,0.53%,7.19%,4.41%,15.99%,17.12B,174.33,12.80%,13.98B,2.09B,0.91,N/A,185.00M,1.86,12.33B,"1,045.25",1.37,8.46,649.00M,-192.50M,1.11,-6.37%,63.61,41.47,57.09,50.73,"1,862,080","2,333,860",99.22M,1.22%,102.50%,8.16M,3.20,N/A,N/A
TDC,14.03,4.44B,11.72,2.45,1.61,2.99,8.91,12.29%,16.42%,8.78%,20.04%,2.69B,17.67,-7.30%,1.48B,540.00M,2.14,-62.70%,881.00M,6.20,600.00M,41.55,1.87,10.18,559.00M,358.75M,1.12,-29.73%,47.03,29.15,36.17,41.09,"1,722,670","2,938,740",148.16M,0.46%,103.40%,21.40M,13.50,N/A,N/A
TSO,14.45,12.84B,12.79,0.64,0.35,2.79,7.27,2.49%,4.87%,7.47%,16.00%,36.58B,288.11,-35.40%,4.94B,2.21B,7.06,85.90%,459.00M,3.67,4.14B,58.55,1.52,36.27,1.37B,796.50M,2.20,65.20%,104.44,55.59,94.55,88.80,"2,159,620","2,412,680",125.83M,5.81%,88.70%,8.58M,3.60,1.70%,1.45
TXN,18.09,52.35B,17.72,1.96,3.95,5.09,9.77,22.83%,32.00%,14.88%,29.06%,13.15B,12.51,-1.80%,7.43B,5.35B,2.78,1.90%,3.31B,3.20,4.88B,47.86,2.52,9.87,4.08B,3.45B,1.31,8.22%,59.99,41.47,50.82,54.79,"6,517,210","6,205,390",1.04B,0.30%,87.50%,24.13M,3.40,2.80%,1.36
TXT,18.53,11.79B,14.49,1.05,0.84,2.71,9.39,4.56%,7.76%,4.60%,14.76%,14.10B,50.62,7.90%,2.46B,1.56B,2.29,50.60%,561.00M,2.02,3.84B,87.59,2.10,15.82,1.21B,911.50M,1.43,12.30%,46.93,32.22,43.85,44.44,"1,571,790","2,252,660",277.64M,0.11%,82.00%,4.19M,2.90,0.20%,0.08
HSY,23.88,19.65B,19.81,2.62,2.70,15.96,13.09,11.21%,19.31%,16.15%,55.69%,7.49B,33.78,3.50%,3.34B,1.67B,3.76,-3.10%,405.17M,1.85,2.46B,182.98,0.97,5.78,890.87M,621.39M,0.90,-0.81%,111.35,87.79,90.76,97.19,"1,082,640","1,219,420",219.05M,0.20%,75.10%,4.55M,3.40,2.40%,2.14
TRV,9.67,32.83B,11.03,1.26,1.22,1.36,5.68,13.34%,19.67%,3.22%,14.51%,27.00B,83.29,-1.20%,13.29B,6.16B,10.91,18.90%,4.24B,13.63,6.35B,26.33,0.38,77.51,3.24B,6.36B,1.23,16.35%,110.49,90.43,102.33,104.32,"1,894,290","1,763,890",311.21M,0.31%,85.50%,7.78M,4.00,2.30%,2.26
TMO,27.84,54.14B,16.53,1.90,3.24,2.64,16.80,11.69%,13.92%,3.41%,9.53%,16.85B,42.23,-1.20%,7.49B,4.06B,4.89,83.70%,770.40M,1.93,14.02B,67.81,1.02,51.91,2.47B,2.03B,0.86,12.49%,141.25,107.33,134.40,130.98,"1,515,710","1,090,880",398.06M,0.15%,92.20%,3.60M,2.10,0.40%,0.60
TIF,26.15,12.06B,19.57,2.06,2.87,4.20,11.88,11.04%,20.28%,10.67%,16.13%,4.20B,32.49,-4.90%,2.54B,1.04B,3.57,-16.50%,715.40M,5.54,1.08B,37.39,6.12,22.22,682.12M,546.17M,2.03,-5.99%,110.60,82.64,93.40,89.69,"1,136,080","876,162",129.16M,13.22%,79.50%,5.23M,5.20,1.70%,1.54
TWX,19.84,66.08B,13.94,0.92,2.36,2.70,12.12,12.66%,24.90%,6.61%,12.77%,27.68B,32.65,4.80%,11.48B,7.61B,4.04,-24.90%,2.26B,2.74,22.47B,92.86,1.41,29.30,2.89B,11.66B,0.97,8.23%,91.34,67.78,87.44,84.88,"3,888,420","9,240,590",824.60M,0.08%,89.00%,12.23M,3.70,1.60%,1.34
TWC,26.76,53.41B,23.97,6.35,2.34,6.60,9.68,8.74%,20.84%,6.15%,26.37%,23.01B,82.10,3.50%,15.99B,7.93B,7.06,-4.40%,547.00M,1.94,23.34B,286.56,0.48,28.82,6.46B,1.56B,0.91,29.40%,194.22,128.78,185.09,164.16,"3,140,780","1,611,720",282.75M,0.10%,88.00%,6.63M,3.00,1.60%,3.75
TJX,21.73,47.38B,18.77,1.88,1.61,11.02,N/A,7.59%,12.37%,20.89%,52.15%,29.45B,42.82,5.80%,8.30B,4.24B,3.20,4.50%,2.59B,3.81,1.62B,37.85,1.66,6.31,2.97B,2.07B,1.15,27.86%,71.03,53.00,68.22,67.53,"2,599,890","2,398,040",680.38M,0.65%,91.90%,7.28M,2.80,1.20%,0.74
TMK,15.25,7.81B,13.38,1.78,1.98,1.61,10.64,13.42%,21.13%,2.63%,11.72%,3.96B,30.67,-0.20%,1.75B,844.99M,4.06,-8.40%,94.97M,0.75,1.25B,25.62,0.35,38.60,869.59M,1.11B,1.07,16.97%,62.95,49.71,59.98,56.39,"688,923","685,525",126.11M,1.84%,76.50%,5.34M,8.20,0.90%,0.52
TSS,24.92,8.65B,18.48,2.04,3.42,5.04,15.41,13.96%,18.89%,7.93%,18.23%,2.52B,13.71,11.70%,777.98M,607.07M,1.88,57.70%,328.11M,1.78,1.44B,82.97,2.21,9.27,569.99M,320.65M,0.85,49.62%,47.77,28.54,43.89,40.04,"958,588","1,519,890",184.31M,3.04%,75.00%,2.75M,3.20,0.90%,0.40
TSCO,31.62,12.51B,25.61,1.93,2.05,8.97,16.74,6.61%,10.54%,18.55%,30.20%,6.05B,44.31,11.90%,1.95B,757.82M,2.90,14.90%,56.32M,0.41,9.09M,0.66,1.94,10.16,476.09M,310.62M,1.44,47.62%,96.28,55.95,92.13,88.00,"758,667","656,212",136.43M,0.60%,89.20%,5.32M,7.00,0.90%,0.68
RIG,N/A,4.93B,N/A,-0.12,0.58,0.38,3.29,-32.93%,29.49%,5.41%,-18.81%,8.66B,23.89,-12.70%,4.06B,3.70B,-7.86,N/A,2.69B,7.40,10.02B,74.11,1.84,36.33,2.61B,1.34B,1.62,-65.71%,39.69,12.08,14.60,16.61,"12,148,600","19,391,400",363.35M,0.06%,67.10%,107.45M,10.80,4.50%,1.65
TRIP,51.26,10.71B,27.94,1.58,7.78,8.84,31.54,14.97%,22.55%,9.68%,18.61%,1.41B,9.85,25.40%,1.21B,356.00M,1.45,-14.70%,711.00M,4.93,288.00M,23.21,1.94,8.61,419.00M,376.12M,2.82,-22.28%,105.22,66.04,85.88,81.64,"1,967,200","1,905,190",131.30M,14.55%,93.40%,13.11M,5.80,N/A,N/A
FOXA,7.22,63.14B,13.17,1.32,1.97,3.44,11.53,29.54%,19.09%,6.97%,46.27%,31.21B,14.39,-16.80%,31.87B,6.86B,4.25,-7.40%,9.28B,4.51,19.09B,97.34,2.54,8.68,3.93B,2.31B,1.54,-11.73%,39.27,27.56,33.12,33.84,"14,814,600","31,404,200",1.26B,0.80%,96.20%,47.87M,3.80,0.90%,0.28
TSN,16.28,16.98B,11.79,0.82,0.42,1.82,9.94,2.50%,4.66%,6.67%,12.82%,40.58B,105.27,10.50%,2.68B,2.50B,2.57,45.50%,225.00M,0.56,7.67B,81.90,1.40,23.06,1.72B,600.05M,0.45,12.17%,45.10,36.80,43.04,41.05,"4,102,020","8,433,080",304.00M,1.59%,84.80%,27.23M,7.50,0.90%,0.38
TYC,9.94,15.99B,16.51,1.52,1.57,3.86,16.12,16.44%,6.75%,3.67%,15.04%,10.28B,23.68,-2.00%,3.78B,1.05B,3.82,-19.30%,495.00M,1.18,2.01B,47.38,1.17,9.93,734.00M,986.12M,1.18,-12.63%,45.24,35.92,38.19,40.77,"2,842,120","3,541,800",421.03M,0.41%,94.30%,3.74M,1.50,2.30%,0.77
USB,14.41,79.71B,12.89,2.55,4.38,2.01,N/A,32.21%,44.80%,1.47%,13.38%,18.23B,10.22,0.10%,N/A,N/A,3.13,-0.80%,17.92B,10.14,61.92B,N/A,N/A,22.51,N/A,N/A,0.83,10.13%,46.26,38.10,44.67,44.02,"6,545,860","5,300,010",1.77B,0.12%,75.00%,15.71M,2.10,2.30%,0.99
UA,105.76,21.12B,68.48,3.76,6.19,14.95,48.77,5.94%,10.29%,9.51%,15.91%,3.42B,15.96,28.50%,1.51B,435.78M,0.93,-16.50%,171.24M,0.79,715.74M,50.56,2.64,6.57,84.79M,-122.13M,0.02,42.13%,101.82,60.00,90.08,80.96,"2,026,300","2,154,480",179.96M,0.77%,81.00%,14.85M,8.90,N/A,N/A
UNP,15.90,80.26B,14.48,1.83,3.50,3.90,8.70,22.06%,36.91%,10.20%,24.30%,23.38B,26.49,-9.70%,17.89B,10.59B,5.82,-6.70%,2.04B,2.34,13.34B,63.55,1.46,24.07,7.94B,2.30B,0.63,-7.10%,124.52,91.23,96.67,107.67,"5,559,940","4,817,640",867.69M,0.29%,82.80%,8.55M,1.80,2.40%,2.10
UNH,19.38,115.98B,16.57,1.55,0.85,3.57,9.94,4.42%,8.11%,7.92%,17.74%,138.21B,144.20,11.30%,37.22B,12.29B,6.29,12.60%,9.80B,10.15,18.07B,52.18,0.77,34.18,9.06B,5.36B,0.71,52.52%,126.05,79.53,121.58,117.03,"4,178,780","3,117,040",952.05M,1.56%,92.40%,13.38M,2.50,1.70%,1.63
UPS,29.90,92.14B,17.58,1.89,1.58,50.51,13.08,5.39%,8.69%,8.53%,77.62%,58.43B,64.09,1.40%,43.47B,7.04B,3.42,12.60%,6.42B,7.12,13.14B,711.32,1.31,2.03,6.21B,3.67B,1.10,6.32%,114.40,94.05,98.73,99.83,"2,915,670","3,256,050",702.34M,0.03%,70.90%,10.03M,3.80,3.10%,2.80
URI,11.01,6.09B,7.44,0.63,1.07,4.32,7.96,10.03%,26.13%,7.62%,36.15%,5.85B,59.79,2.10%,2.43B,1.81B,5.80,-8.50%,200.00M,2.10,8.41B,579.60,0.91,15.22,2.00B,555.88M,1.81,-41.68%,119.83,62.46,78.10,89.66,"2,693,890","2,295,320",95.37M,0.56%,101.00%,10.11M,4.90,N/A,N/A
UTX,14.09,87.54B,14.35,2.00,1.38,2.90,8.49,9.83%,16.28%,7.05%,19.81%,64.04B,71.91,-5.00%,17.65B,12.36B,6.97,-8.20%,5.93B,6.66,22.44B,69.98,1.29,34.11,7.11B,4.40B,1.10,-7.03%,124.45,97.30,106.88,115.45,"4,410,370","6,194,790",890.60M,0.11%,83.20%,10.64M,2.60,2.60%,2.46
UHS,24.74,14.14B,19.03,1.70,1.69,3.61,11.11,6.96%,13.84%,8.25%,16.41%,8.35B,84.44,14.80%,8.07B,1.54B,5.77,26.20%,35.08M,0.35,3.14B,74.44,1.37,39.43,1.11B,650.23M,1.22,33.53%,148.57,95.63,141.25,123.45,"725,464","769,600",91.79M,2.11%,95.90%,1.49M,1.80,0.30%,0.40
UNM,22.28,8.76B,9.04,1.31,0.84,1.01,15.02,3.80%,6.33%,0.67%,4.54%,10.54B,41.58,1.30%,2.79B,758.40M,1.58,-5.70%,790.80M,3.17,2.80B,32.19,10.34,34.82,1.28B,732.70M,1.48,2.01%,38.15,30.72,36.19,34.57,"1,429,970","1,442,710",249.51M,0.64%,94.00%,3.37M,2.50,2.00%,0.68
URBN,19.33,4.18B,14.68,1.09,1.23,3.07,8.25,6.75%,10.62%,11.61%,16.41%,3.38B,25.30,7.70%,1.17B,490.60M,1.69,-12.50%,273.56M,2.13,0.00,N/A,2.64,10.56,305.70M,47.91M,0.59,-11.39%,47.25,27.89,34.61,38.25,"2,554,670","1,620,840",128.13M,23.70%,75.50%,9.39M,5.50,N/A,N/A
VFC,31.41,32.21B,20.48,2.04,2.59,6.50,15.93,8.45%,14.71%,11.38%,19.82%,12.45B,29.08,4.70%,5.99B,2.10B,2.41,8.30%,659.77M,1.56,2.58B,52.06,1.71,11.70,1.19B,904.31M,1.16,21.03%,77.83,61.11,72.95,72.77,"1,853,660","1,691,920",424.98M,20.64%,86.10%,4.76M,2.40,1.70%,1.22
VLO,9.12,33.27B,9.91,0.51,0.28,1.61,4.64,3.18%,5.10%,8.14%,18.71%,118.51B,227.25,-36.60%,12.70B,7.76B,7.17,16.40%,4.87B,9.57,7.42B,34.79,1.94,40.71,5.43B,2.75B,1.46,28.17%,68.27,42.53,64.42,59.80,"5,936,630","6,440,840",508.62M,0.50%,82.80%,17.66M,2.60,2.40%,1.75
VAR,21.45,8.59B,18.97,2.50,2.83,5.18,12.62,13.49%,19.32%,10.65%,24.56%,3.06B,30.09,-2.50%,1.30B,655.92M,4.01,14.20%,932.30M,9.34,512.50M,30.54,2.04,16.71,412.14M,337.50M,0.21,1.57%,96.67,76.73,86.70,89.98,"804,569","1,104,090",99.80M,0.27%,93.70%,7.06M,9.20,N/A,N/A
VTR,43.71,22.30B,13.70,3.38,6.63,2.02,18.16,14.51%,28.69%,2.73%,4.85%,3.35B,10.78,18.60%,1.86B,1.83B,1.54,8.30%,60.53M,0.18,11.51B,101.90,0.95,33.22,1.38B,1.29B,-0.21,5.87%,81.93,60.63,64.62,70.20,"2,370,180","2,626,440",330.88M,0.56%,100.00%,8.15M,3.20,4.80%,3.10
VRSN,27.99,8.05B,20.79,1.94,7.77,N/A,12.01,33.13%,55.72%,14.69%,N/A,1.03B,8.65,4.90%,821.69M,638.12M,2.53,-7.20%,1.88B,16.61,1.86B,N/A,0.99,-8.72,645.84M,469.97M,1.56,29.24%,71.82,52.10,65.76,63.89,"884,189","959,875",113.49M,11.90%,106.90%,19.14M,25.30,N/A,N/A
VZ,19.31,188.50B,11.53,1.84,1.47,16.61,8.10,7.69%,15.92%,5.52%,71.57%,128.99B,31.25,2.40%,77.15B,36.74B,2.40,0.40%,3.32B,0.82,113.67B,882.95,0.70,2.81,34.73B,62.25M,0.62,-4.75%,51.73,45.09,46.95,48.40,"14,720,900","11,244,400",4.07B,0.01%,63.90%,58.29M,4.00,4.80%,2.20
VRTX,N/A,33.57B,32.72,-3.60,56.60,34.78,-55.57,-117.36%,-101.07%,-17.39%,-63.58%,600.47M,2.53,16.90%,519.43M,-544.26M,-2.98,N/A,1.18B,4.85,833.91M,83.60,4.49,4.01,-544.62M,-394.27M,1.20,59.79%,143.16,84.41,129.96,124.62,"1,592,140","1,998,820",243.75M,0.49%,94.50%,3.48M,2.00,N/A,N/A
VIAB,10.70,18.05B,7.28,0.73,1.27,7.60,8.28,12.93%,29.28%,11.10%,52.08%,13.83B,33.32,-3.00%,N/A,4.27B,4.25,N/A,306.00M,0.77,13.23B,525.84,1.23,5.80,2.46B,7.32B,1.33,-43.92%,82.25,39.28,60.23,66.23,"3,610,280","8,181,060",346.59M,0.71%,89.50%,11.90M,4.40,2.80%,1.39
V,30.72,180.55B,24.74,1.55,13.22,6.25,19.52,43.50%,64.92%,14.25%,21.07%,13.54B,5.57,11.50%,10.83B,9.08B,2.42,24.80%,4.72B,1.94,0.00,N/A,1.74,11.78,6.64B,5.75B,0.83,40.96%,76.92,48.80,71.03,68.06,"6,993,590","7,842,650",2.43B,0.12%,93.70%,63.93M,10.50,0.60%,0.46
VNO,22.32,17.91B,18.22,4.19,6.65,3.55,20.91,33.12%,31.80%,2.68%,6.08%,2.68B,14.25,7.10%,1.57B,1.31B,4.26,25.80%,1.07B,5.67,9.65B,115.54,4.73,26.60,1.02B,998.35M,0.42,-0.18%,115.73,84.32,96.84,104.45,"756,050","738,488",188.27M,8.97%,92.70%,2.08M,2.50,2.60%,2.55
VMC,112.92,12.54B,27.63,5.07,4.14,3.04,22.22,3.65%,11.36%,2.67%,2.83%,3.05B,23.13,9.90%,587.58M,620.95M,0.84,N/A,392.66M,2.96,2.28B,54.76,1.70,31.36,284.46M,121.34M,1.05,53.20%,98.00,54.10,89.74,85.08,"891,223","1,227,580",132.66M,0.28%,89.20%,3.22M,4.30,0.40%,0.32
WMT,14.32,229.46B,14.25,3.44,0.48,3.07,7.62,3.32%,5.49%,8.25%,20.72%,485.52B,150.34,-0.10%,120.56B,35.88B,4.98,-7.00%,7.76B,2.41,50.69B,63.37,0.89,23.73,27.07B,13.26B,0.75,-4.18%,90.97,70.36,72.55,78.62,"7,553,810","6,418,390",3.22B,51.24%,30.40%,22.67M,2.90,2.70%,1.95
WBA,23.96,101.89B,20.59,1.68,N/A,N/A,18.08,4.23%,5.24%,5.70%,15.20%,93.98B,93.13,48.40%,21.57B,6.40B,3.89,82.40%,4.53B,4.15,16.25B,50.89,1.30,0.00,5.54B,3.99B,1.67,50.48%,97.30,58.39,91.80,85.56,"3,401,940","3,061,900",1.09B,N/A,N/A,11.70M,2.60,1.50%,1.35
DIS,23.53,185.54B,19.42,1.48,3.63,4.01,14.66,15.84%,24.08%,9.07%,17.49%,50.71B,29.62,7.00%,22.39B,14.53B,4.65,10.00%,3.74B,2.21,14.96B,30.07,1.17,27.08,10.81B,5.64B,1.42,24.97%,122.08,78.54,116.49,108.62,"7,675,320","21,401,800",1.70B,7.73%,64.90%,44.70M,6.80,1.10%,1.81
WM,23.27,22.96B,18.53,2.85,1.72,4.28,10.02,7.50%,14.20%,5.56%,17.67%,13.39B,29.23,-6.90%,4.99B,3.42B,2.18,30.50%,273.00M,0.60,9.11B,168.41,1.03,11.92,2.51B,1.33B,0.86,12.10%,55.93,45.04,48.49,51.18,"1,960,530","2,237,240",452.25M,2.67%,79.20%,10.89M,6.50,3.20%,1.52
WAT,24.40,10.91B,20.58,2.43,5.39,5.84,15.30,22.65%,28.19%,9.46%,24.85%,2.02B,24.08,6.90%,1.16B,665.74M,5.41,36.60%,2.11B,25.51,1.49B,79.76,5.34,22.52,550.48M,355.41M,0.16,27.39%,137.39,93.56,131.24,126.59,"485,069","515,750",82.69M,4.15%,95.50%,2.39M,4.90,N/A,N/A
ANTM,15.79,40.38B,13.69,1.37,0.54,1.66,5.89,3.64%,7.32%,5.40%,11.23%,75.07B,276.67,6.70%,17.02B,6.02B,9.67,23.40%,22.33B,84.41,17.86B,73.41,1.63,91.86,3.63B,2.03B,0.57,42.13%,173.59,107.19,159.01,153.99,"2,010,570","2,291,460",264.54M,N/A,N/A,6.39M,2.90,1.70%,2.13
WFC,13.98,295.69B,12.77,1.41,3.55,1.74,N/A,27.50%,42.94%,1.41%,12.58%,83.49B,16.11,0.80%,N/A,N/A,4.11,-0.10%,332.17B,64.56,262.71B,N/A,N/A,32.99,N/A,N/A,0.80,15.19%,58.77,46.44,57.32,55.58,"14,428,100","12,442,300",5.15B,0.08%,78.30%,29.24M,1.80,2.60%,1.45
WDC,12.78,19.28B,10.87,1.62,1.29,2.11,5.08,10.39%,12.02%,7.40%,17.36%,15.03B,64.58,-4.10%,4.36B,2.98B,6.54,2.40%,5.04B,21.83,2.34B,25.41,2.62,39.94,2.47B,1.31B,1.84,-17.27%,114.69,75.92,81.54,94.64,"2,292,270","3,377,110",230.91M,5.76%,88.30%,5.83M,2.20,2.60%,1.80
WU,12.66,10.53B,11.86,1.38,1.89,7.80,8.05,15.30%,21.00%,7.22%,70.59%,5.58B,10.58,-2.20%,2.31B,1.44B,1.61,0.40%,1.77B,3.43,3.73B,276.27,1.91,2.61,1.06B,605.99M,1.73,18.60%,22.84,15.32,19.69,20.03,"5,581,990","8,030,290",516.31M,0.14%,107.90%,69.97M,12.10,3.30%,0.56
WY,10.01,16.08B,19.91,5.92,2.15,3.17,11.65,23.46%,16.11%,5.41%,12.51%,7.39B,13.65,-0.90%,1.64B,1.69B,3.10,-47.90%,1.16B,2.24,5.40B,107.46,3.11,9.66,1.06B,807.75M,0.99,-3.24%,37.04,29.63,31.16,32.82,"3,464,430","3,012,700",517.74M,0.06%,92.20%,9.39M,2.90,3.90%,1.16
