,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
KEY,14.32,12.35B,11.81,1.40,3.10,1.21,N/A,22.61%,33.27%,0.99%,8.72%,4.02B,4.72,1.30%,N/A,N/A,1.02,8.70%,1.90B,2.26,11.80B,N/A,N/A,12.21,N/A,N/A,1.34,12.18%,15.70,11.55,15.05,14.49,"8,791,400","7,294,400",843.61M,0.24%,82.10%,10.38M,1.30,2.00%,0.27
GMCR,14.87,8.23B,14.88,1.04,1.71,3.01,9.40,12.39%,19.61%,13.78%,19.62%,4.73B,29.28,2.20%,1.82B,1.18B,3.59,-4.10%,97.55M,0.63,536.09M,19.87,2.56,17.50,493.78M,62.45M,1.32,-53.71%,158.87,52.40,72.79,101.97,"2,564,710","4,644,550",153.97M,25.77%,69.10%,12.54M,6.80,1.70%,1.11
KMB,67.42,42.51B,18.76,2.77,2.21,82.39,10.93,3.34%,18.55%,12.83%,25.75%,19.22B,52.20,-6.30%,6.68B,4.38B,1.73,N/A,603.00M,1.66,7.67B,"1,031.05",0.82,1.42,2.36B,2.34B,0.89,12.65%,119.01,99.60,111.20,109.69,"1,295,690","1,511,800",364.28M,0.38%,70.90%,4.33M,3.60,3.10%,3.41
KIM,17.46,10.28B,15.97,3.49,9.74,2.04,23.49,61.55%,36.56%,2.23%,12.28%,1.05B,2.57,23.80%,735.28M,661.10M,1.43,256.70%,220.98M,0.54,5.72B,107.98,3.65,12.15,664.37M,421.78M,0.66,9.83%,28.54,21.54,23.97,25.27,"2,876,810","3,158,290",412.75M,2.96%,95.40%,10.43M,3.30,4.00%,0.95
KMI,45.52,69.68B,33.83,-4.76,4.65,2.02,18.45,7.95%,28.73%,3.39%,6.57%,15.30B,8.99,-12.00%,7.79B,6.51B,0.71,17.30%,163.00M,0.08,44.55B,125.48,0.45,16.17,N/A,N/A,0.55,-18.36%,44.71,31.09,36.64,40.49,"12,241,400","17,681,900",2.17B,35.16%,51.10%,59.20M,4.70,5.60%,1.86
KLAC,24.54,8.37B,12.58,0.73,2.98,16.82,12.62,12.64%,22.85%,7.68%,17.07%,2.79B,17.02,-11.20%,1.70B,720.65M,2.13,-35.30%,2.34B,14.63,3.24B,655.30,4.06,3.09,537.07M,373.14M,1.51,-27.89%,84.21,50.42,54.29,59.17,"1,337,180","1,532,850",159.92M,0.27%,95.90%,4.23M,3.20,3.90%,18.50
KSS,14.01,11.88B,12.03,1.47,0.63,2.03,6.11,4.56%,8.85%,7.36%,14.64%,19.08B,94.67,1.30%,6.92B,2.59B,4.28,1.60%,1.20B,6.04,4.75B,78.88,1.95,29.79,1.95B,1.24B,1.50,7.50%,79.60,53.86,62.66,68.23,"3,002,330","2,253,400",197.88M,3.07%,101.20%,25.27M,11.10,2.90%,1.68
KHC,"3,736.19",95.13B,N/A,N/A,N/A,N/A,30.75,6.96%,20.60%,N/A,N/A,10.60B,12.46,-11.50%,N/A,2.50B,0.02,41.50%,1.90B,2.23,13.73B,89.37,1.77,0.00,1.76B,N/A,0.21,N/A,81.20,71.00,78.01,78.01,"5,159,130","3,077,590",1.21B,0.20%,70.00%,15.56M,2.20,2.90%,0.55
KR,20.41,36.74B,17.59,1.89,0.35,6.70,8.99,1.70%,3.08%,7.04%,36.13%,108.56B,111.74,0.30%,22.95B,5.37B,1.85,23.60%,252.00M,0.26,11.31B,204.25,0.76,5.78,4.17B,1.23B,0.99,50.53%,39.40,24.80,37.95,36.74,"6,647,670","6,257,680",971.42M,6.11%,83.50%,27.68M,3.60,1.10%,0.36
LB,21.44,23.84B,19.40,2.19,2.06,N/A,11.65,9.81%,17.18%,18.69%,N/A,11.58B,39.57,5.10%,4.81B,2.43B,3.81,59.20%,699.00M,2.39,4.76B,N/A,1.67,-2.08,1.72B,1.02B,1.24,30.61%,95.78,61.45,84.34,88.40,"1,756,240","1,924,790",291.96M,17.05%,71.70%,5.39M,2.80,2.40%,3.68
LLL,16.64,9.49B,14.11,2.44,0.80,1.83,10.67,5.04%,8.80%,4.70%,10.74%,11.88B,140.68,-8.30%,1.08B,1.27B,6.93,-38.20%,317.00M,3.85,3.94B,74.41,1.87,63.32,1.27B,793.25M,0.80,10.71%,132.92,103.64,118.13,122.08,"611,389","1,052,890",82.36M,0.65%,87.20%,1.88M,3.50,2.20%,2.50
LH,27.63,12.52B,14.22,1.42,1.98,2.79,14.78,6.28%,16.03%,6.02%,11.34%,6.35B,73.47,23.90%,2.20B,1.27B,4.51,-99.40%,446.40M,4.45,6.95B,153.21,1.65,44.95,509.80M,303.26M,0.38,21.28%,131.19,95.61,122.41,121.42,"1,126,820","1,125,420",100.40M,0.35%,103.50%,4.84M,4.90,N/A,N/A
LRCX,17.12,11.47B,10.65,1.04,2.28,2.25,9.80,15.07%,15.83%,5.87%,15.30%,5.03B,30.78,13.50%,2.01B,1.07B,4.23,25.50%,3.95B,24.94,2.53B,49.68,3.49,32.16,739.33M,492.03M,1.28,4.70%,85.70,65.78,78.68,78.60,"1,901,810","2,619,810",158.32M,0.26%,96.70%,9.28M,4.70,1.60%,0.84
LM,23.43,5.30B,12.71,0.61,1.89,1.20,8.61,8.41%,19.35%,4.81%,5.22%,2.82B,25.17,3.10%,2.76B,599.25M,2.04,20.30%,1.18B,10.60,1.06B,23.50,2.36,40.23,568.12M,404.57M,1.58,0.23%,59.19,45.78,49.81,53.96,"1,137,700","1,516,640",110.87M,0.78%,94.10%,4.38M,3.60,1.70%,0.68
LEG,58.15,6.55B,20.22,1.52,1.68,5.89,16.24,3.01%,9.20%,7.04%,19.50%,3.87B,27.42,10.40%,790.40M,466.70M,0.82,35.00%,262.20M,1.90,1.00B,89.59,1.48,8.03,433.70M,311.19M,0.92,39.49%,51.28,32.64,49.41,46.58,"927,459","1,150,480",137.80M,1.98%,75.10%,6.02M,6.70,2.50%,1.24
LEN,15.89,10.37B,N/A,N/A,1.19,2.00,15.14,8.35%,12.04%,5.02%,14.04%,8.63B,42.60,31.60%,1.44B,1.08B,3.14,32.90%,817.06M,3.98,6.79B,123.93,6.66,25.04,-1.06B,-769.80M,1.12,36.62%,53.96,36.26,51.61,49.06,"2,801,560","2,379,660",176.44M,2.71%,N/A,25.28M,7.60,0.30%,0.16
LVLT,43.19,17.27B,20.82,0.59,2.41,2.59,13.71,4.49%,16.56%,4.37%,7.79%,7.22B,25.59,27.60%,3.00B,2.11B,1.13,8.90%,1.11B,3.14,11.50B,171.21,1.05,18.97,1.32B,476.62M,1.39,17.48%,57.08,37.61,52.20,53.60,"1,936,200","3,557,480",354.47M,24.13%,62.20%,3.97M,2.10,N/A,N/A
LUK,17.95,8.48B,N/A,N/A,0.67,0.79,4.58,3.94%,13.56%,2.06%,4.53%,12.57B,33.68,7.60%,2.66B,1.85B,1.29,300.50%,24.50B,66.81,24.42B,221.70,1.32,29.05,-1.68B,-1.19B,1.22,-6.47%,26.49,20.96,24.14,23.71,"1,269,280","1,258,550",366.66M,13.09%,63.10%,7.19M,4.60,1.10%,0.25
LLY,42.65,87.12B,23.04,2.46,4.49,5.90,19.06,10.50%,18.11%,N/A,N/A,19.62B,18.42,0.90%,14.68B,4.95B,1.93,-18.10%,4.14B,3.89,8.22B,55.00,N/A,14.02,N/A,N/A,0.29,34.69%,90.18,60.46,85.40,76.40,"5,421,630","3,802,640",1.06B,12.11%,63.50%,17.11M,2.90,2.40%,1.98
